File Name,Cell Image,Perimeter,Area,Circularity,Result,Confidence
Sickle3_1.png,"<img src=""Sickle3_1.png"">",157.54,1785.0,0.9,Regular,1.0
Sickle3_2.png,"<img src=""Sickle3_2.png"">",157.78,1666.5,0.88,Regular,1.0
Sickle3_3.png,"<img src=""Sickle3_3.png"">",160.37,1834.0,0.98,Regular,0.62
Sickle3_4.png,"<img src=""Sickle3_4.png"">",156.12,1642.5,0.88,Regular,1.0
Sickle3_5.png,"<img src=""Sickle3_5.png"">",168.85,611.0,0.81,Regular,1.0
Sickle3_6.png,"<img src=""Sickle3_6.png"">",187.2,1032.0,0.82,Regular,1.0
Sickle3_7.png,"<img src=""Sickle3_7.png"">",186.12,1829.5,0.76,Regular,1.0
Sickle3_8.png,"<img src=""Sickle3_8.png"">",154.02,1029.0,0.73,Regular,1.0
Sickle3_9.png,"<img src=""Sickle3_9.png"">",159.2,1783.0,0.83,Regular,1.0
Sickle3_10.png,"<img src=""Sickle3_10.png"">",153.64,806.5,0.78,Regular,1.0
Sickle3_11.png,"<img src=""Sickle3_11.png"">",205.82,2277.0,0.49,Sickle,0.91
Sickle3_12.png,"<img src=""Sickle3_12.png"">",164.47,1351.5,0.93,Regular,1.0
Sickle3_13.png,"<img src=""Sickle3_13.png"">",168.51,871.0,0.63,Regular,1.0
Sickle3_14.png,"<img src=""Sickle3_14.png"">",166.27,642.5,0.83,Regular,1.0
Sickle3_15.png,"<img src=""Sickle3_15.png"">",195.92,649.5,0.78,Regular,1.0
Sickle3_16.png,"<img src=""Sickle3_16.png"">",150.37,1595.0,0.89,Regular,1.0
Sickle3_17.png,"<img src=""Sickle3_17.png"">",154.37,1679.0,0.94,Regular,1.0
Sickle3_18.png,"<img src=""Sickle3_18.png"">",157.2,629.0,0.95,Sickle,0.88
Sickle3_19.png,"<img src=""Sickle3_19.png"">",224.79,1241.0,0.69,Regular,1.0
Sickle3_20.png,"<img src=""Sickle3_20.png"">",203.1,951.5,0.27,Sickle,1.0
Sickle3_21.png,"<img src=""Sickle3_21.png"">",172.95,1984.5,0.82,Regular,1.0
Sickle3_22.png,"<img src=""Sickle3_22.png"">",164.12,937.5,0.67,Regular,1.0
Sickle3_23.png,"<img src=""Sickle3_23.png"">",161.78,1883.5,0.96,Regular,1.0
Sickle3_24.png,"<img src=""Sickle3_24.png"">",153.54,1692.0,0.96,Regular,1.0
